date,price,z_score,total_value,position,cash,peak,dd
2014-09-18,424.44000244140625,0.9829163678802576,10000.0,7.0681367984728265,7000.0,10000.0,0.0
2014-09-19,394.7959899902344,0.5488392641436357,9790.472064739486,12.134044382917825,5000.0,10000.0,-2.095279352605139
2014-09-20,408.90399169921875,0.7901797166556028,9961.659183630582,12.134044382917825,5000.0,10000.0,-0.3834081636941846
2014-09-21,398.8210144042969,0.6483376546538057,9839.311889622048,12.134044382917825,5000.0,10000.0,-1.606881103779524
2014-09-22,402.1520080566406,0.6568335519889903,9879.730314438804,12.134044382917825,5000.0,10000.0,-1.2026968556119573
2014-09-23,435.7909851074219,1.1611584776839623,10287.907154968938,12.134044382917825,5000.0,10287.907154968938,0.0
2014-09-24,423.2049865722656,0.9630339227306938,10135.188090140015,12.134044382917825,5000.0,10287.907154968938,-1.4844522071251571
2014-09-25,411.5740051269531,0.7746856907235578,9994.057245065698,12.134044382917825,5000.0,10287.907154968938,-2.856265180827508
2014-09-26,404.42498779296875,0.7226020620614954,9907.310751440882,12.134044382917825,5000.0,10287.907154968938,-3.6994541046594906
2014-09-27,399.5199890136719,0.6604863596326411,9847.793278554736,12.134044382917825,5000.0,10287.907154968938,-4.277972864496855
2014-09-28,377.1809997558594,0.3287138515139817,9576.730991430915,12.134044382917825,5000.0,10287.907154968938,-6.912738935387193
2014-09-29,375.4670104980469,0.3069738247774997,9555.933369704773,12.134044382917825,5000.0,10287.907154968938,-7.114894936728021
2014-09-30,386.9440002441406,0.5208555082443891,9695.195672666168,12.134044382917825,5000.0,10287.907154968938,-5.761244472511564
2014-10-01,383.614990234375,0.4411739950460331,9654.801317456495,12.134044382917825,5000.0,10287.907154968938,-6.153883661427294
2014-10-02,375.0719909667969,0.3090376501288159,9551.140185180466,12.134044382917825,5000.0,10287.907154968938,-7.161485408940751
2014-10-03,359.5119934082031,0.1313867276489743,9362.334484206396,12.134044382917825,5000.0,10287.907154968938,-8.996705129823232
2014-10-04,328.8659973144531,-0.2271614613307637,8990.474607446107,21.256300938774153,2000.0,10287.907154968938,-12.611238884442946
2014-10-05,320.510009765625,-0.2971401789042946,8812.857221467568,21.256300938774153,2000.0,10287.907154968938,-14.337706506118092
2014-10-06,330.0790100097656,-0.2096261725375864,9016.258770340224,21.256300938774153,2000.0,10287.907154968938,-12.360612955323209
2014-10-07,336.18701171875,-0.1199777229749058,9146.092292800942,21.256300938774153,2000.0,10287.907154968938,-11.098611651219194
2014-10-08,352.94000244140625,0.1336812721227039,9502.198905226214,21.256300938774153,2000.0,10287.907154968938,-7.637201987804058
2014-10-09,365.0260009765625,0.226662114658274,9759.102527235082,21.256300938774153,2000.0,10287.907154968938,-5.140060264622916
2014-10-10,361.56201171875,0.1953523280147124,9685.470929122337,21.256300938774153,2000.0,10287.907154968938,-5.855770437776854
2014-10-11,362.29901123046875,0.2329422109578528,9701.13681253516,21.256300938774153,2000.0,10287.907154968938,-5.703495702236919
2014-10-12,378.54901123046875,0.4231252224787092,10046.55170279024,21.256300938774153,2000.0,10287.907154968938,-2.3460111813132514
2014-10-13,390.41400146484375,0.5827388456256125,10298.757505847732,21.256300938774153,2000.0,10298.757505847732,0.0
2014-10-14,400.8699951171875,0.6846464007986792,10521.013253535863,21.256300938774153,2000.0,10521.013253535863,0.0
2014-10-15,394.77301025390625,0.617556551908037,10391.413908462806,21.256300938774153,2000.0,10521.013253535863,-1.2318142934522143
2014-10-16,382.5559997558594,0.471736904830391,10131.72545674416,21.256300938774153,2000.0,10521.013253535863,-3.700097960249908
2014-10-17,383.75799560546875,0.4733442833906074,10157.275442250611,21.256300938774153,2000.0,10521.013253535863,-3.457250765870935
